dataset,model,mode,auprc_mean,auprc_std,auprc_gain_mean,auprc_gain_std,auroc_mean,auroc_std,recall_at_1pct_fpr_mean,recall_at_1pct_fpr_std,distinct_levels_mean,distinct_levels_std,n_seeds
pendigits,qwen2.5-3b,likelihood,0.35563448166399403,0.010912770823726943,8.00861496208725,0.24574720451123572,0.8885789102500451,0.00659416287473616,0.25427350427350426,0.01334401281709059,,,3
pendigits,qwen2.5-3b,prompted,0.028646921634497762,0.00010154030921235724,0.6451066391153246,0.002286609655532139,0.2913318642764577,0.002301810980006411,0.0,0.0,3494.6666666666665,0.5773502691896586,3
pendigits,smol-360,likelihood,0.4555951153736328,0.017276406428294755,10.259651540433152,0.3890513832217919,0.9484429779335946,0.0027505219208618075,0.3397435897435897,0.023112508176051188,,,3
pendigits,smol-360,prompted,0.0633688074136302,0.00026125997102435577,1.4270167977184798,0.005883373578259966,0.6059878707331791,0.001080639490663923,0.019230769230769232,0.0,1617.6666666666667,23.18045153428498,3
pima,qwen2.5-3b,likelihood,0.6577682071779151,0.0074007492156406805,1.2713579526797016,0.01430443318545471,0.6473930348258706,0.00637263330082254,0.0236318407960199,0.011399442027253332,,,3
pima,qwen2.5-3b,prompted,0.5122807430372643,0.0064452756443019316,0.990154570497399,0.012457659640852197,0.4678258706467662,0.009299625400961232,0.02611940298507463,0.0,518.0,0.0,3
pima,smol-360,likelihood,0.6705040426651495,0.002691440407930531,1.2959742317184608,0.005202112430253826,0.6619303482587064,0.000783593934996903,0.03980099502487562,0.008617168196860085,,,3
pima,smol-360,prompted,0.5449085800667883,0.010664116351028369,1.0532188226664045,0.020611986081465253,0.5366467661691542,0.019396636925551897,0.017412935323383085,0.004308584098430042,445.3333333333333,2.0816659994661384,3
satellite,qwen2.5-3b,likelihood,0.872102709734157,0.002322660535942395,1.8144533784056431,0.0048324116062141344,0.8592009733881051,0.0016054182823469355,0.3973477406679764,0.00512785191989712,,,3
satellite,qwen2.5-3b,prompted,0.4252623176477551,0.0019773539406143137,0.8847795567563314,0.004113983935384112,0.4245035571828302,0.002669222225227783,0.004747871643745907,0.0007502579723241391,4218.0,2.0,3
satellite,smol-360,likelihood,0.7358357018331537,0.0011383269271590952,1.5309430417314536,0.00236834620012082,0.6623643731023398,0.0021425540706906457,0.36345776031434185,0.0014734774066797462,,,3
satellite,smol-360,prompted,0.49761029250042116,0.0036532136735634084,1.0353031429429196,0.007600694067394353,0.5151294874084659,0.0053384290214687925,0.013261296660117878,0.000850712577391393,2106.0,11.532562594670797,3
satimage-2,qwen2.5-3b,likelihood,0.8953699212591629,0.03158534668601569,37.03804871462199,1.306565679110255,0.9967385143613483,0.0007765491323029024,0.9530516431924884,0.021514439882421802,,,3
satimage-2,qwen2.5-3b,prompted,0.015529279663460835,0.00011012973177985885,0.6423872446702039,0.004555648200527396,0.28118887785891905,0.005876241263235042,0.0,0.0,2924.6666666666665,3.0550504633038438,3
satimage-2,smol-360,likelihood,0.9585062778775334,0.00901532339665001,39.64975969191994,0.37292964529522543,0.9977721645059939,0.00020897999243478591,0.971830985915493,0.0,,,3
satimage-2,smol-360,prompted,0.03411372096950165,0.0003170449535573868,1.4111549082736108,0.01311494406476114,0.640904042538553,0.0012561122237063945,0.014084507042253521,0.0,1635.3333333333333,11.59022576714244,3
seismic,qwen2.5-3b,likelihood,0.27210546033251143,0.0051888731010845054,2.2040542286933427,0.042029872118784145,0.7396770472895039,0.0029889746027567227,0.041176470588235294,0.0058823529411764705,,,3
seismic,qwen2.5-3b,prompted,0.09309904986423621,0.0022931250936382218,0.7541023039003134,0.01857431325846965,0.3495776272397941,0.008734351247947759,0.00392156862745098,0.003396178054056622,1308.3333333333333,14.047538337137015,3
seismic,smol-360,likelihood,0.27510127032642484,0.003414520029568124,2.2283202896440413,0.02765761223950173,0.741338921649853,0.0034042250805826034,0.03529411764705882,0.0058823529411764705,,,3
seismic,smol-360,prompted,0.09640233735222169,0.0033161954453084985,0.7808589325529957,0.02686118310699886,0.38631268580340167,0.008042963339728945,0.0058823529411764705,0.0,604.6666666666666,6.3508529610858755,3
shuttle,qwen2.5-3b,likelihood,0.9958462954131456,0.0022763824195154224,7.460763587168152,0.01705438996380862,0.9995286878235734,8.289065055739345e-05,0.9897465109655369,0.0012414978477757685,,,3
shuttle,qwen2.5-3b,prompted,0.21714962920573078,0.0005987911086329407,1.6268595404806445,0.004486072720444619,0.7488865160277941,0.000790411713207898,0.00484192537738536,0.0,10945.666666666666,42.193996413391886,3
shuttle,smol-360,likelihood,0.9785291360509997,0.0035430736034297084,7.33102546131743,0.026544291673202665,0.9982824130035475,0.00011574145763710555,0.9840501281686129,0.0009866424423633608,,,3
shuttle,smol-360,prompted,0.8611009745126496,0.0015764185991026585,6.451267454736752,0.011810343158871073,0.9476709590555087,0.0003123747970512098,0.6701794360581032,0.004583730259023383,3108.3333333333335,9.451631252505152,3
smtp,qwen2.5-3b,likelihood,0.5082449841923625,0.040986925292402644,806.2967844222371,65.02302451471063,0.925220351019817,0.002404724513985641,0.6999999999999998,0.0,,,3
smtp,qwen2.5-3b,prompted,0.00947987097977653,0.0008315746949714642,15.039183318016816,1.3192378152592306,0.6444275078433983,0.0002672643985044041,0.20000000000000004,0.0,5161.666666666667,17.243356208503315,3
smtp,smol-360,likelihood,0.5997177441539572,0.006906796488683167,951.4122199173095,10.957172176196572,0.9192796921977168,0.0004067568472223526,0.6666666666666666,0.0,,,3
